"","V1","V2","V3","V4"
"0%",13.1688311688312,9.26073926073926,8.68931068931069,1.74525474525475
"25%",187.375624375624,187.455044955045,112.984015984016,95.3056943056943
"50%",555.295704295704,429.923076923077,284.162837162837,234.53046953047
"75%",1166.83016983017,902.057192807193,837.834165834166,790.151848151848
"100%",7160.8971028971,7138.15084915085,5833.58641358641,8698.39060939061
