"","V1","V2","V3","V4"
"0%",59594.2397602398,17083.7882117882,16986.1058941059,153.571428571429
"25%",12599493920.1309,5067216276.86114,1477703507.98501,490265744.948052
"50%",848089518233.881,245493851154.664,86311253341.026,30982709091.7582
"75%",43928087292070,13701514464189.6,5679922537562.34,3708428805612.48
"100%",212632219936972608,54108991624984608,88017579301424192,199094763603621440
