"","V1","V2","V3","V4"
"0%",3435.18281718282,1267.82217782218,1226.07792207792,27.3276723276723
"25%",25668746.3046953,16628957.9555445,5357979.91108891,2309189.66133866
"50%",681423471.965035,242264614.890609,104344134.170829,47756170.8731269
"75%",11060264137.5225,3852154180.63237,2769339230.86214,1557594077.71329
"100%",5392709515261.78,1912680086839.37,2730825501730.89,5515239621466.47
