"","V1","V2","V3","V4"
"0%",205.484515484515,102.937062937063,96.6873126873127,5.80719280719281
"25%",63379.0979020979,54049.8831168831,21268.996003996,13304.8711288711
"50%",585672.318681319,320586.941058941,145514.834165834,96674.2187812188
"75%",2833935.62037962,1612048.87062937,1386980.07692308,1012447.33466533
"100%",168134656.281718,90203737.3016983,100072380.667333,178495298.312687
