"","mom1stat","mom1p-val"
"surv25 vs surv100",12618,0.000614780519443194
"surv25 vs surv75",12002,0.010956359605402
"surv25 vs surv50",10711,0.305272916046382
"surv50 vs surv100",11579,0.00605406281964814
"surv50 vs surv75",10909,0.0800332291198263
"surv75 vs surv100",10587,0.345459751010211
