"","mom3stat","mom3p-val"
"surv25 vs surv100",12612,0.000634484497688521
"surv25 vs surv75",12023,0.0100495698223489
"surv25 vs surv50",10781,0.259780010382321
"surv50 vs surv100",11475,0.00958386738147958
"surv50 vs surv75",10841,0.0990299626472179
"surv75 vs surv100",10556,0.369100587184273
