"","mom4stat","mom4p-val"
"surv25 vs surv100",12585,0.000730639062406084
"surv25 vs surv75",12038,0.00944341637711727
"surv25 vs surv50",10799,0.248882561990652
"surv50 vs surv100",11463,0.0100913457241619
"surv50 vs surv75",10819,0.105894578524105
"surv75 vs surv100",10528,0.391297028003753
